Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
The Churchill,"126-132 Lambton Quay
WELLINGTON CENTRAL
WELLINGTON 6011
NEW ZEALAND",Wellington,New Zealand,"The Churchill 126-132 Lambton Quay
WELLINGTON CENTRAL
WELLINGTON 6011
NEW ZEALAND Wellington New Zealand ",-41.2807299,174.7756749
MERMAID BAR,"73-75 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"MERMAID BAR 73-75 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2933078,174.7802479
NEWTOWN SPORTS BAR,"34 CONSTABLE STREET
NEWTOWN
WELLINGTON 6004",Wellington,New Zealand,"NEWTOWN SPORTS BAR 34 CONSTABLE STREET
NEWTOWN
WELLINGTON 6004 Wellington New Zealand ",-41.3137462,174.7819394
BAY 66 BAR & BISTRO,"66 BAY ROAD
KILBIRNIE
WELLINGTON 6022",Wellington,New Zealand,"BAY 66 BAR & BISTRO 66 BAY ROAD
KILBIRNIE
WELLINGTON 6022 Wellington New Zealand ",-41.3195036,174.7943524
ISLAND BAY SERVICES CLUB,"2 THE PARADE
ISLAND BAY
WELLINGTON 6002",Wellington,New Zealand,"ISLAND BAY SERVICES CLUB 2 THE PARADE
ISLAND BAY
WELLINGTON 6002 Wellington New Zealand ",-41.3281943,174.7742613
JOHNSONVILLE CLUB,"1 NORMAN LANE
JOHNSONVILLE
WELLINGTON 6004",Wellington,New Zealand,"JOHNSONVILLE CLUB 1 NORMAN LANE
JOHNSONVILLE
WELLINGTON 6004 Wellington New Zealand ",-41.2232361,174.8085049
THE CUTTING SPORTS CAFE,"32 MIRAMAR AVENUE
MIRAMAR
WELLINGTON 6003",Wellington,New Zealand,"THE CUTTING SPORTS CAFE 32 MIRAMAR AVENUE
MIRAMAR
WELLINGTON 6003 Wellington New Zealand ",-41.3155627,174.8140255
THE CORNER,"CORNER BAY AND RONGOTAI ROADS
KILBIRNIE
WELLINGTON 6022",Wellington,New Zealand,"THE CORNER CORNER BAY AND RONGOTAI ROADS
KILBIRNIE
WELLINGTON 6022 Wellington New Zealand ",-41.3179961,174.7948237
CORNER BAR 169,"169 WILLIS STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"CORNER BAR 169 169 WILLIS STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.29081,174.773945
The Residence,"SHOP 1 120 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"The Residence SHOP 1 120 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.292556,174.7794384
JJ MURPHYS,"119 CUBA STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"JJ MURPHYS 119 CUBA STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2927778,174.7761111
The Vessel Cafe & Bar,"1 BUNNY STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"The Vessel Cafe & Bar 1 BUNNY STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2802582,174.7799545
BACKBENCHER PUB & CAFE,"34 MOLESWORTH STREET
THORNDON
WELLINGTON 6144",Wellington,New Zealand,"BACKBENCHER PUB & CAFE 34 MOLESWORTH STREET
THORNDON
WELLINGTON 6144 Wellington New Zealand ",-41.2775652,174.7783721
FEATHERSTON BAR & GRILL,"GROUND FLOOR AGRICULTURAL HOUSE 132 FEATHERSTON STREET
LAMBTON
WELLINGTON 6001",Wellington,New Zealand,"FEATHERSTON BAR & GRILL GROUND FLOOR AGRICULTURAL HOUSE 132 FEATHERSTON STREET
LAMBTON
WELLINGTON 6001 Wellington New Zealand ",-41.2828143,174.7774341
LOVELOCKS SPORTS BAR,"8-12 BOND STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"LOVELOCKS SPORTS BAR 8-12 BOND STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2891319,174.7754145
THE GRAND,"67-71 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"THE GRAND 67-71 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2934,174.7803389
THE GREEN MAN,"15 WILLESTON STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"THE GREEN MAN 15 WILLESTON STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.286919,174.777145
BAD GRANNIES,"195 Cuba Street
TE ARO
WELLINGTON 6011
NEW ZEALAND",Wellington,New Zealand,"BAD GRANNIES 195 Cuba Street
TE ARO
WELLINGTON 6011
NEW ZEALAND Wellington New Zealand ",-41.2947317,174.7751245
Fringe Bar,"26-32 ALLEN STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"Fringe Bar 26-32 ALLEN STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2932709,174.7820584
CLOCKWORKS,"191 MAIN ROAD
TAWA SOUTH
WELLINGTON 6006",Wellington,New Zealand,"CLOCKWORKS 191 MAIN ROAD
TAWA SOUTH
WELLINGTON 6006 Wellington New Zealand ",-41.1694849,174.8247155
LOCAL BAR,"3-5 STRATHMORE AVENUE
STRATHMORE
WELLINGTON 6022",Wellington,New Zealand,"LOCAL BAR 3-5 STRATHMORE AVENUE
STRATHMORE
WELLINGTON 6022 Wellington New Zealand ",-41.3251509,174.8206779
THE OFFICE CAFE & BAR,"124 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004",Wellington,New Zealand,"THE OFFICE CAFE & BAR 124 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004 Wellington New Zealand ",-41.312392,174.7792339
Newlands Arms,"1 BATCHELOR STREET
NEWLANDS
WELLINGTON 6004",Wellington,New Zealand,"Newlands Arms 1 BATCHELOR STREET
NEWLANDS
WELLINGTON 6004 Wellington New Zealand ",-41.2231818,174.8215576
The Borough,"162-168 Main Road
TAWA SOUTH
WELLINGTON 5028
NEW ZEALAND",Wellington,New Zealand,"The Borough 162-168 Main Road
TAWA SOUTH
WELLINGTON 5028
NEW ZEALAND Wellington New Zealand ",-41.1707393,174.8250044
