name,outlet_type,address,city,region,latitude,longitude
Rotorua Central,TAB Store,"1156 Eruera Street, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1390707,176.2517575
Cheers Bar,PubTAB Full Service,"328/348 Fenton Street, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1543626,176.2547639
Rotorua C T Club,PubTAB Full Service,"Moncur Drive, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1631916,176.2401126
Rotorua Citizens Club,ClubTAB Self Service Only,"Arawa & Rangiuru Streets, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1349113,176.2500447
Grand Tav Roxburgh,PubTAB Self Service Only,"94 Scotland Street, Roxburgh, New Zealand",Roxburgh,Otago,-45.5398465,169.3144483
Runanga WMC,ClubTAB Self Service Only,"McGowan & Pitt Street, Opposite 20 Pitt Street, Runanga, New Zealand",Runanga,West Coast,-42.3971207,171.2524342
Thoroughbred Tavern,PubTAB Full Service,"2 The Furlong, Great South Road, Takanini, South Auckland, New Zealand",South Auckland,Auckland,-37.053245,174.9323778
Pukekohe Cosy,PubTAB Full Service,"78 Nelson Street, Pukekohe, South Auckland, New Zealand",South Auckland,Auckland,-37.211185,174.9019305
Papatoetoe Cosy,PubTAB Full Service,"53 Rangitoto Street., Papatoetoe, South Auckland, New Zealand",South Auckland,Auckland,-36.9781759,174.8526502
Papakura Tavern,PubTAB Self Service Only,"159 Great South Road, Papakura, South Auckland, New Zealand",South Auckland,Auckland,-37.0626934,174.941927
Papakura RSA,ClubTAB Self Service Only,"40 Elliott Street, Papakura, South Auckland, New Zealand",South Auckland,Auckland,-37.065464,174.9367147
Papakura Club,PubTAB Full Service,"5 Croskery Road, Papakura, South Auckland, New Zealand",South Auckland,Auckland,-37.0710523,174.9636869
Southbridge Hotel,PubTAB Self Service Only,"97 High Street, Southbridge, New Zealand",Southbridge,Canterbury,-43.8112539,172.2521324
Empire Stratford,PubTAB Full Service,"Broadway & Fenton Street, Stratford, New Zealand",Stratford,Taranaki,-39.341025,174.285035
New Commercial Hotel Stratford,PubTAB Self Service Only,"339 Broadway, Stratford, New Zealand",Stratford,Taranaki,-39.3425227,174.2857466
Gretna Htl Taihape,PubTAB Self Service Only,"117 Hautapu Street, Taihape, New Zealand",Taihape,Manawatu-Wanganui,-39.6757834,175.7983399
